2024-04-01 12:41:23,965 - pocketoption - DEBUG - ======== New Session ========
2024-04-01 12:41:26,149 - pocketoption - DEBUG - Old session worked fine.
2024-04-01 12:41:26,158 - pocketoption - DEBUG - Payout Last Request ID: 157622
2024-04-01 12:59:02,148 - pocketoption - DEBUG - Old session worked fine.
2024-04-01 12:59:03,727 - pocketoption - DEBUG - Processed -> Statistics -> Current week
2024-04-01 12:59:03,727 - pocketoption - DEBUG - Total time taken to perform the task: 2.94 seconds
2024-04-01 13:00:00,877 - pocketoption - INFO - Target [ID:610323477]: success
2024-04-01 13:00:01,143 - pocketoption - INFO - Target [ID:1838317981]: success
2024-04-01 13:01:01,469 - pocketoption - DEBUG - First Check -> Latest ID: 157622 | Existing ID: 157622
2024-04-01 13:01:01,469 - pocketoption - DEBUG - Auto-Withdrawal is currently off!!
2024-04-01 13:01:02,328 - pocketoption - DEBUG - Second Check -> Latest ID: 157622 | Existing ID: 157622
2024-04-01 13:59:01,456 - pocketoption - DEBUG - Old session worked fine.
2024-04-01 13:59:02,957 - pocketoption - DEBUG - Processed -> Statistics -> Current week
2024-04-01 13:59:02,957 - pocketoption - DEBUG - Total time taken to perform the task: 2.75 seconds
2024-04-01 14:00:00,818 - pocketoption - INFO - Target [ID:610323477]: success
2024-04-01 14:00:01,084 - pocketoption - INFO - Target [ID:1838317981]: success
2024-04-01 14:01:01,505 - pocketoption - DEBUG - First Check -> Latest ID: 157622 | Existing ID: 157622
2024-04-01 14:01:01,505 - pocketoption - DEBUG - Auto-Withdrawal is currently off!!
2024-04-01 14:01:02,317 - pocketoption - DEBUG - Second Check -> Latest ID: 157622 | Existing ID: 157622
2024-04-01 14:59:01,996 - pocketoption - DEBUG - Old session worked fine.
2024-04-01 14:59:03,559 - pocketoption - DEBUG - Processed -> Statistics -> Current week
2024-04-01 14:59:03,559 - pocketoption - DEBUG - Total time taken to perform the task: 2.94 seconds
2024-04-01 15:00:00,028 - pocketoption - DEBUG - No change detected!!
2024-04-01 15:01:01,594 - pocketoption - DEBUG - First Check -> Latest ID: 157622 | Existing ID: 157622
2024-04-01 15:01:01,594 - pocketoption - DEBUG - Auto-Withdrawal is currently off!!
2024-04-01 15:01:02,422 - pocketoption - DEBUG - Second Check -> Latest ID: 157622 | Existing ID: 157622
2024-04-01 15:59:02,098 - pocketoption - DEBUG - Old session worked fine.
2024-04-01 15:59:03,522 - pocketoption - DEBUG - Processed -> Statistics -> Current week
2024-04-01 15:59:03,522 - pocketoption - DEBUG - Total time taken to perform the task: 3.08 seconds
2024-04-01 16:00:00,022 - pocketoption - DEBUG - No change detected!!
2024-04-01 16:01:02,076 - pocketoption - DEBUG - First Check -> Latest ID: 157622 | Existing ID: 157622
2024-04-01 16:01:02,076 - pocketoption - DEBUG - Auto-Withdrawal is currently off!!
2024-04-01 16:01:02,889 - pocketoption - DEBUG - Second Check -> Latest ID: 157622 | Existing ID: 157622
2024-04-01 16:59:01,978 - pocketoption - DEBUG - Old session worked fine.
2024-04-01 16:59:03,588 - pocketoption - DEBUG - Processed -> Statistics -> Current week
2024-04-01 16:59:03,588 - pocketoption - DEBUG - Total time taken to perform the task: 2.91 seconds
2024-04-01 17:00:00,213 - pocketoption - DEBUG - No change detected!!
2024-04-01 17:01:01,717 - pocketoption - DEBUG - First Check -> Latest ID: 157622 | Existing ID: 157622
2024-04-01 17:01:01,717 - pocketoption - DEBUG - Auto-Withdrawal is currently off!!
2024-04-01 17:01:02,498 - pocketoption - DEBUG - Second Check -> Latest ID: 157622 | Existing ID: 157622
2024-04-01 17:59:01,683 - pocketoption - DEBUG - Old session worked fine.
